SAT,ACO,APHY,AMEN,,,,,,,,,,,,,
4,4,4,4,,,,,,,,,,,,,
4,4,3.8,3.8,,,,,,,,,,,,,
3,3.2,3,3,,,,,,,,,,,,,
4,3.6,3.6,3.4,,,,,,,,,,,,,
4,3.6,3.4,3.4,,,,,,,,,,,,,
4,4,4,4,,,,,,,,,,,,,
4,4,4,4,,,,,,,,,,,,,
4,4,3.4,3.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
